City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,longyearbyen,78.2186,15.6401,-6.09,73,75,1.54,SJ,1711554322
1,holualoa,19.6228,-155.9522,22.15,80,100,3.09,US,1711554322
2,puerto ayora,-0.7393,-90.3518,29.98,91,100,0.89,EC,1711554322
3,tallulah,32.4085,-91.1868,13.03,62,0,4.12,US,1711554322
4,avarua,-21.2078,-159.775,26.03,94,40,0.51,CK,1711554323
5,taoudenni,22.6783,-3.9836,29.88,12,0,2.97,ML,1711554323
6,mahina,-17.5065,-149.489,25.87,83,20,1.54,PF,1711554323
7,uturoa,-16.7333,-151.4333,28.63,72,81,8.8,PF,1711554323
8,guerrero negro,27.9769,-114.0611,15.99,68,0,2.62,MX,1711554323
9,palikir - national government center,6.9248,158.1611,26.41,83,100,2.06,FM,1711554323
10,invercargill,-46.4,168.35,8.34,82,100,2.68,NZ,1711554209
11,adamstown,-25.066,-130.1015,24.76,59,55,5.51,PN,1711554324
12,vadso,70.0744,29.7487,-6.51,73,0,4.12,NO,1711554324
13,grytviken,-54.2811,-36.5092,7.53,86,71,3.77,GS,1711554324
14,waitangi,-43.9535,-176.5597,11.01,80,46,2.68,NZ,1711554324
15,edinburgh of the seven seas,-37.0676,-12.3116,19.13,95,100,9.36,SH,1711554324
16,west island,-12.1568,96.8225,27.99,78,40,5.14,CC,1711554324
17,buriti bravo,-5.8372,-43.8336,30.53,63,68,2.36,BR,1711554325
18,ribeira grande,38.5167,-28.7,16.22,63,40,12.86,PT,1711554325
19,salalah,17.0151,54.0924,29.05,48,40,8.75,OM,1711554325
20,isafjordur,66.0755,-23.124,2.02,55,75,5.14,IS,1711554325
21,margaret river,-33.95,115.0667,15.12,86,0,1.12,AU,1711554325
22,saint george's,12.0564,-61.7485,27.82,78,40,7.2,GD,1711554325
23,vilyuchinsk,52.9306,158.4028,-5.6,81,90,3.6,RU,1711554326
24,saint-pierre,-21.3393,55.4781,25.82,69,75,7.72,RE,1711554326
25,kununurra,-15.7667,128.7333,22.99,100,40,2.57,AU,1711554326
26,polyarnyy,69.1989,33.4478,-8.19,84,73,2.55,RU,1711554326
27,lucapa,-8.4192,20.7447,24.69,83,55,0.32,AO,1711554327
28,richland center,43.3347,-90.3868,0.35,48,98,6.7,US,1711554327
29,fort bragg,35.139,-79.006,14.34,93,100,3.09,US,1711554327
30,port blair,11.6667,92.75,29.02,70,89,2.57,IN,1711554067
31,boa vista,2.8197,-60.6733,32.99,46,94,3.09,BR,1711554145
32,sumbe,-11.2061,13.8437,28.92,81,42,4.31,AO,1711554328
33,walvis bay,-22.9575,14.5053,18.38,64,19,9.66,NA,1711554328
34,neiafu,-18.65,-173.9833,26.38,94,75,0.0,TO,1711554328
35,albany,42.6001,-73.9662,7.19,79,100,0.89,US,1711554215
36,port-aux-francais,-49.35,70.2167,6.83,93,96,14.17,TF,1711554328
37,blackmans bay,-43.0167,147.3167,10.96,75,22,2.2,AU,1711554328
38,huangmei,30.1924,116.025,15.41,92,100,1.11,CN,1711554329
39,motygino,58.1831,94.7592,-11.35,98,99,1.45,RU,1711554329
40,dhola,21.8833,71.7833,34.47,28,49,1.86,IN,1711554329
41,cabo san lucas,22.8909,-109.9124,22.01,65,0,0.0,MX,1711554110
42,iqaluit,63.7506,-68.5145,-17.15,70,20,3.09,CA,1711554329
43,karratha,-20.7377,116.8463,28.53,52,0,5.12,AU,1711554329
44,diego martin,10.7005,-61.5342,31.38,58,10,2.93,TT,1711554330
45,sitka,57.0531,-135.33,1.94,93,20,0.0,US,1711554330
46,badger,64.8,-147.5333,2.06,84,75,2.06,US,1711554330
47,santa terezinha,-29.9002,-50.0904,24.0,72,2,5.51,BR,1711554330
48,st. john's,47.5649,-52.7093,4.53,52,75,4.12,CA,1711554112
49,jamestown,42.097,-79.2353,10.57,85,100,4.47,US,1711554121
50,puerto natales,-51.7236,-72.4875,12.25,43,40,1.54,CL,1711554330
